18123	Googlebot
1032	AdsBot-Google-Mobile
670	Mediapartners-Google
670	Mediapartners
234	Sogou
208	bingbot
171	Applebot
65	facebookexternalhit
48	WhatsApp
34	UptimeRobot
33	pinterest
32	YandexBot
17	SemrushBot
11	Googlebot-Image
10	Gluten Free Crawler
4	coccoc
3	Twitterbot
3	Facebot
3	Discordbot
3	Cliqzbot
2	Google Web Preview
2	AppEngine-Google
